x,u(x)
9.0909e-02,0.0000e+00
1.8182e-01,0.0000e+00
2.7273e-01,3.0855e-01
3.6364e-01,2.8115e-01
4.5455e-01,2.3817e-01
5.4545e-01,1.9063e-01
6.3636e-01,1.4227e-01
7.2727e-01,9.4258e-02
8.1818e-01,4.6843e-02
9.0909e-01,0.0000e+00
